NO,SEKTOR,JENIS_IZIN,BULAN,JUMLAH
1,KESEHATAN,IZIN PRAKTIK BIDAN,JANUARI,25.0
2,KESEHATAN,IZIN PRAKTIK PERAWAT,JANUARI,177.0
3,KESEHATAN,IZIN PRAKTIK TERAPIS GIGI DAN MULUT ,JANUARI,4.0
4,KESEHATAN,IZIN PRAKTIK PERAWAT SPESIALIS,JANUARI,0.0
5,KESEHATAN,IZIN PRAKTIK TENAGA KEFARMASIAN,JANUARI,22.0
6,KESEHATAN,IZIN PRAKTIK FISIOTERAPIS,JANUARI,9.0
7,KESEHATAN,IZIN PRAKTIK RADIOGRAFER,JANUARI,3.0
8,KESEHATAN,IZIN PRAKTIK REFRAKSIONIS OPTISIEN,JANUARI,2.0
9,KESEHATAN,IZIN PRAKTIK OKUPASI TERAPIS ,JANUARI,1.0
10,KESEHATAN,IZIN PRAKTIK TERAPIS WICARA,JANUARI,4.0
11,KESEHATAN,IZIN PRAKTIK APOTEKER,JANUARI,48.0
12,KESEHATAN,IZIN PRAKTIK SANITARIAN/ TENAGA SANITASI LINGKUNGAN,JANUARI,3.0
13,KESEHATAN,IZIN PRAKTIK AHLI TEKNOLOGI LABORATORIUM MEDIK ,JANUARI,11.0
14,KESEHATAN,IZIN PRAKTIK PSIKOLOGIS KLINIS,JANUARI,8.0
15,KESEHATAN,IZIN PRAKTIK PEREKAM MEDIS DAN INFORMASI,JANUARI,10.0
16,KESEHATAN,IZIN PRAKTIK DOKTER UMUM,JANUARI,30.0
17,KESEHATAN,IZIN PRAKTIK DOKTER GIGI,JANUARI,12.0
18,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS,JANUARI,41.0
19,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS GIGI,JANUARI,9.0
20,KESEHATAN,IZIN PRAKTIK LAYANAN DARAH/ TRANSFUSI,JANUARI,2.0
21,KESEHATAN,IZIN PRAKTIK ELEKTROMEDIS,JANUARI,3.0
22,KESEHATAN,IZIN PRAKTIK / KERJA TENAGA GIZI,JANUARI,2.0
23,KESEHATAN,IZIN PRAKTIK PENATA ANESTESI,JANUARI,1.0
24,KESEHATAN,TEKNISI GIGI,JANUARI,0.0
25,KESEHATAN,ORTOTIK PROSTETIK,JANUARI,0.0
26,KESEHATAN,RADIOTERAPIS,JANUARI,0.0
27,KESEHATAN,AKUPUNKTUR,JANUARI,0.0
28,KESEHATAN,EPIDEMIOLOG KESEHATAN,JANUARI,0.0
29,KESEHATAN,TENAGA PROMOSI KESEHATAN DAN ILMU PERILAKU,JANUARI,0.0
30,KESEHATAN,PEMBIMBING KESEHATAN KERJA,JANUARI,0.0
31,KESEHATAN,TENAGA ADMINISTRASI DAN KEBIJAKAN KESEHATAN,JANUARI,0.0
32,KESEHATAN,TENAGA BIOSTATISTIK DAN KEPENDUDUKAN,JANUARI,0.0
33,KESEHATAN,TENAGA KESEHATAN REPRODUKSI DAN KELUARGA,JANUARI,0.0
34,KESEHATAN,ENTOMOLOG KESEHATAN,JANUARI,0.0
35,KESEHATAN,MIKROBIOLOG KESEHATAN,JANUARI,0.0
36,KESEHATAN,TEKNIS KARDIOVASKULER,JANUARI,0.0
37,KESEHATAN,AUDIOLOGIS,JANUARI,0.0
38,KESEHATAN,FISIKAWAN MEDIK,JANUARI,0.0
39,KESEHATAN,TENAGA KESEHATAN TRADISIONAL RAMUAN,JANUARI,0.0
40,KESEHATAN,TENAGA KESEHATAN TRADISIONAL KETRAMPILAN,JANUARI,0.0
41,KESEHATAN,IZIN PRAKTIK PERAWAT GIGI,JANUARI,0.0
42,PERTANIAN,IZIN PRAKTEK DOKTER HEWAN WARGA NEGARA INDONESIA,JANUARI,3.0
43,PERTANIAN,IZIN PRAKTEK DOKTER HEWAN WARGA NEGARA ASING,JANUARI,0.0
44,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER KESEHATAN HEWAN,JANUARI,0.0
45,PERTANIAN,IZIN  PRAKTIK PARAMEDIK INSEMINATOR  ,JANUARI,0.0
46,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER PEMERIKSAAN KEBUNTINGAN,JANUARI,0.0
47,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER ASISTEN TEKNIS REPRODUKSI,JANUARI,0.0
48,PERTANIAN,SURAT KETERANGAN PEMENUHAN TEMPAT PRAKTIK DOKTER HEWAN,JANUARI,0.0
49,PENDIDIKAN,"IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL (TPA, SPS, KB, BIMBEL, LKP, TK)",JANUARI,5.0
50,PENDIDIKAN,"IZIN PENDIRIAN SATUAN PENDIDIKAN (SD,SMP)",JANUARI,0.0
51,PENDIDIKAN,IZIN KULIAH KERJA NYATA,JANUARI,2.0
52,PENDIDIKAN,SURAT KETERANGAN PENELITIAN,JANUARI,0.0
53,TATA RUANG,KONFIRMASI KKPR NON BERUSAHA,JANUARI,83.0
54,TATA RUANG,PERSETUJUAN KKPR NON BERUSAHA,JANUARI,10.0
55,TATA RUANG,PEMUTAKHIRAN KONFIRMASI KKPR,JANUARI,0.0
56,TATA RUANG,KETERANGAN RENCANA KABUPATEN,JANUARI,85.0
57,PEKERJAAN UMUM,IZIN MENGGUNAKAN RUANG MILIK JALAN UNTUK UTILITAS/MEDIA IKLAN/JALAN MASUK (IN GANG),JANUARI,5.0
58,PEKERJAAN UMUM,IZIN PENUTUPAN SALURAN DRAINASE,JANUARI,4.0
59,PEKERJAAN UMUM,IZIN PENUTUPAN SALURAN IRIGASI DAN SEMPADAN SALURAN IRIGASI,JANUARI,7.0
60,PEKERJAAN UMUM,IZIN PEMINDAHAN SALURAN IRIGASI,JANUARI,0.0
61,PEKERJAAN UMUM,IZIN REKLAME,JANUARI,0.0
62,PEKERJAAN UMUM,PERSETUJUAN BANGUNAN GEDUNG,JANUARI,72.0
63,PERHUBUNGAN,IZIN PENYELENGGARAAN FASILITAS PARKIR (RETRIBUSI PARKIR),JANUARI,0.0
64,PERHUBUNGAN,IZIN TRAYEK,JANUARI,0.0
65,SOSIAL,TANDA DAFTAR LEMBAGA KESEJAHTERAAN SOSIAL,JANUARI,3.0
66,TENAGA KERJA,TANDA DAFTAR BURSA KERJA KHUSUS,JANUARI,1.0
67,LINGKUNGAN HIDUP,IZIN SAMBUNGAN RUMAH AIR LIMBAH DOMESTIK,JANUARI,0.0
68,PERDAGANGAN,TANDA DAFTAR GUDANG,JANUARI,0.0
69,PERDAGANGAN,SIUPMB GOL B DAN C,JANUARI,0.0
70,PERDAGANGAN,SURAT KETERANGAN PENDIRIAN TOKO SWALAYAN,JANUARI,2.0
J  U  M  L  A  H,,,JANUARI,709.0
1,KESEHATAN,IZIN PRAKTIK BIDAN,FEBRUARI,25.0
2,KESEHATAN,IZIN PRAKTIK PERAWAT,FEBRUARI,127.0
3,KESEHATAN,IZIN PRAKTIK TERAPIS GIGI DAN MULUT ,FEBRUARI,14.0
4,KESEHATAN,IZIN PRAKTIK PERAWAT SPESIALIS,FEBRUARI,0.0
5,KESEHATAN,IZIN PRAKTIK TENAGA KEFARMASIAN,FEBRUARI,25.0
6,KESEHATAN,IZIN PRAKTIK FISIOTERAPIS,FEBRUARI,6.0
7,KESEHATAN,IZIN PRAKTIK RADIOGRAFER,FEBRUARI,8.0
8,KESEHATAN,IZIN PRAKTIK REFRAKSIONIS OPTISIEN,FEBRUARI,2.0
9,KESEHATAN,IZIN PRAKTIK OKUPASI TERAPIS ,FEBRUARI,0.0
10,KESEHATAN,IZIN PRAKTIK TERAPIS WICARA,FEBRUARI,1.0
11,KESEHATAN,IZIN PRAKTIK APOTEKER,FEBRUARI,48.0
12,KESEHATAN,IZIN PRAKTIK SANITARIAN/ TENAGA SANITASI LINGKUNGAN,FEBRUARI,2.0
13,KESEHATAN,IZIN PRAKTIK AHLI TEKNOLOGI LABORATORIUM MEDIK ,FEBRUARI,5.0
14,KESEHATAN,IZIN PRAKTIK PSIKOLOGIS KLINIS,FEBRUARI,10.0
15,KESEHATAN,IZIN PRAKTIK PEREKAM MEDIS DAN INFORMASI,FEBRUARI,5.0
16,KESEHATAN,IZIN PRAKTIK DOKTER UMUM,FEBRUARI,28.0
17,KESEHATAN,IZIN PRAKTIK DOKTER GIGI,FEBRUARI,19.0
18,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS,FEBRUARI,57.0
19,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS GIGI,FEBRUARI,12.0
